user_id,age,income_level,employment_type,credit_score_proxy,previous_loan_history,mobile_access,internet_availability,financial_literacy_score,loan_eligibility_flag
69,43,High,Farmer,39,1,0,0,2,0
70,61,Medium,Salaried,55,0,0,1,7,1
71,51,Medium,Self-employed,87,0,1,0,2,0
72,27,Medium,Salaried,20,1,1,1,3,0
73,53,Low,Self-employed,81,0,1,1,1,0
74,31,Medium,Salaried,34,1,1,0,7,0
75,48,Low,Daily wage,74,0,1,1,5,0
76,32,Low,Farmer,74,1,0,1,8,0
77,25,Low,Self-employed,66,1,1,0,7,0
78,31,Low,Daily wage,59,1,1,0,3,0
79,40,Medium,Salaried,22,0,1,0,7,0
80,57,High,Self-employed,64,1,0,0,0,0
81,38,Low,Self-employed,62,1,1,1,8,0
82,33,Low,Daily wage,22,0,0,0,4,0
83,62,Low,Salaried,85,1,1,0,3,0
84,35,High,Daily wage,41,1,1,0,4,0
85,64,Low,Salaried,93,0,1,1,0,0
86,41,Medium,Daily wage,63,0,0,0,1,0
87,43,High,Daily wage,65,0,1,1,1,0
88,42,Low,Daily wage,80,1,1,1,8,0
89,62,High,Daily wage,40,1,0,1,5,0
90,58,High,Salaried,19,1,1,1,2,0
91,46,High,Farmer,8,0,0,1,3,0
92,32,Low,Daily wage,56,0,1,0,0,0
93,62,Low,Salaried,74,1,1,0,6,0
94,18,Medium,Farmer,16,1,0,1,6,0
95,42,Low,Self-employed,77,0,1,1,7,0
96,24,Medium,Self-employed,81,1,1,1,0,0
97,26,Low,Daily wage,17,1,1,0,8,0
98,41,Low,Self-employed,62,0,0,0,1,0
99,18,Low,Daily wage,71,1,1,1,0,0
100,61,Low,Daily wage,92,0,1,1,0,0
101,25,Low,Farmer,71,1,0,1,7,0
102,41,Low,Self-employed,25,1,1,0,2,0
103,28,Low,Daily wage,91,1,1,1,5,0
104,34,Medium,Self-employed,71,1,1,1,5,0
105,25,Medium,Farmer,83,0,0,1,1,0
106,52,Low,Self-employed,71,0,1,0,1,0
107,52,Low,Farmer,77,1,1,1,0,0
108,50,Low,Farmer,12,1,0,1,8,0
109,22,Low,Farmer,16,1,0,1,0,0
110,59,Low,Daily wage,25,0,0,1,5,0
111,56,Low,Salaried,5,1,1,0,8,0
112,58,Low,Daily wage,80,0,0,1,5,0
113,45,Medium,Self-employed,3,0,1,1,5,0
114,24,Low,Daily wage,88,1,1,1,3,0
115,26,High,Daily wage,6,0,0,0,4,0
116,25,Low,Salaried,16,0,1,1,0,0
117,29,High,Self-employed,85,0,0,1,2,0
118,51,Low,Farmer,91,0,0,1,5,0
119,50,Low,Farmer,49,0,0,0,1,0
120,40,Low,Self-employed,5,0,0,0,0,0
121,41,Low,Daily wage,29,0,1,0,0,0
122,54,Low,Salaried,73,0,1,0,0,0
123,52,Low,Salaried,55,0,1,1,9,0
124,61,Medium,Self-employed,38,0,0,1,9,0
125,57,Low,Self-employed,13,0,0,1,0,0
126,39,Medium,Daily wage,53,1,1,0,5,0
127,44,Low,Salaried,21,0,0,0,9,0
128,52,High,Self-employed,56,1,1,0,3,0
129,18,Low,Daily wage,40,1,0,0,3,0
130,52,Low,Daily wage,89,1,0,0,3,0
131,54,Low,Self-employed,9,1,1,1,7,0
132,64,Low,Salaried,1,0,1,0,6,0
133,31,Low,Farmer,66,0,1,1,4,0
134,20,Low,Daily wage,47,0,0,0,6,0
135,18,Medium,Farmer,41,1,1,0,7,0
136,22,High,Daily wage,10,0,1,1,9,0
137,43,Low,Salaried,73,1,0,1,7,0
138,31,High,Farmer,11,1,0,1,6,0
139,56,High,Self-employed,13,1,0,1,6,0
140,44,Medium,Daily wage,29,1,0,0,8,0
141,26,Low,Self-employed,59,0,0,0,4,0
142,32,Low,Self-employed,76,1,1,0,7,0
143,32,Low,Salaried,29,0,0,0,1,0
144,43,Medium,Self-employed,37,0,1,0,7,0
145,59,Low,Daily wage,74,1,0,0,0,0
146,30,Low,Self-employed,64,0,0,0,8,0
147,49,Low,Self-employed,90,1,0,1,0,0
148,56,Low,Daily wage,46,1,0,0,7,0
149,49,Medium,Self-employed,38,0,1,1,2,0
150,21,Low,Salaried,48,0,1,1,3,0
151,47,Medium,Daily wage,72,0,1,1,9,1
152,54,Medium,Salaried,57,0,0,0,6,1
153,40,Low,Self-employed,89,0,1,1,9,0
154,56,Low,Farmer,88,1,1,0,2,0
155,62,Medium,Salaried,16,0,1,1,8,0
156,32,Low,Salaried,5,0,1,1,2,0
157,60,Low,Self-employed,14,1,1,1,7,0
158,46,Low,Farmer,66,1,0,1,7,0
159,53,Low,Daily wage,94,1,0,0,2,0
160,30,Low,Farmer,27,0,0,1,2,0
161,49,Low,Daily wage,72,1,0,0,9,0
162,24,Low,Self-employed,43,1,1,1,4,0
163,39,Low,Farmer,17,1,1,1,7,0
164,45,Medium,Self-employed,31,0,1,0,5,0
165,19,Low,Salaried,82,0,1,1,4,0
166,59,Medium,Farmer,68,1,0,1,4,0
167,62,Low,Daily wage,43,0,1,1,5,0
168,23,Medium,Salaried,69,0,1,0,7,1
169,45,Low,Daily wage,62,0,1,0,5,0
170,45,Medium,Salaried,75,1,1,0,6,1
171,61,Low,Daily wage,57,1,0,1,8,0
172,61,Medium,Daily wage,46,1,1,1,6,0
173,37,Low,Self-employed,16,1,0,0,8,0
174,47,Low,Salaried,38,1,0,1,9,0
175,28,Low,Self-employed,58,0,1,0,0,0
176,45,Medium,Self-employed,6,0,0,0,2,0
177,42,Medium,Self-employed,62,1,0,1,5,0
178,56,Low,Self-employed,56,0,1,0,2,0
179,50,Medium,Daily wage,74,1,1,1,1,0
180,18,Medium,Self-employed,33,0,0,1,4,0
181,44,High,Self-employed,52,0,1,0,0,0
182,30,Medium,Self-employed,65,1,1,0,4,0
183,58,Medium,Daily wage,77,1,0,0,7,1
184,20,Low,Salaried,81,0,0,1,8,0
185,56,Medium,Daily wage,47,0,0,0,9,0
186,23,Low,Daily wage,59,1,1,1,5,0
187,25,High,Daily wage,42,0,0,0,3,0
188,44,Low,Salaried,72,1,1,0,2,0
189,26,Low,Self-employed,3,1,0,0,7,0
190,54,Low,Self-employed,77,1,0,0,1,0
191,50,Medium,Salaried,74,0,0,1,7,1
192,59,High,Salaried,93,1,0,1,6,1
193,61,Low,Farmer,90,1,1,0,1,0
194,41,Medium,Self-employed,92,1,0,0,1,0
195,32,Medium,Daily wage,51,1,1,0,1,0
196,49,Medium,Daily wage,31,0,1,0,0,0
197,49,Low,Self-employed,93,1,1,0,6,0
198,41,Medium,Salaried,89,1,0,0,7,1
199,58,Low,Farmer,93,0,1,0,6,0
200,29,Medium,Daily wage,50,1,1,0,3,0
201,56,Low,Farmer,9,1,0,0,8,0
202,19,Low,Daily wage,11,1,0,0,1,0
203,20,Medium,Daily wage,96,1,0,1,4,0
204,54,Low,Self-employed,97,0,0,0,1,0
205,34,Low,Daily wage,81,0,1,0,2,0
206,19,Medium,Farmer,38,0,0,0,1,0
207,19,Low,Farmer,79,0,0,0,7,0
208,45,Low,Self-employed,67,0,0,1,9,0
209,40,Low,Daily wage,9,0,0,1,5,0
210,54,Low,Farmer,91,1,0,1,4,0
211,49,Low,Salaried,81,0,1,1,4,0
212,50,Low,Self-employed,72,1,1,1,8,0
213,18,High,Salaried,85,1,0,1,1,0
214,36,Low,Farmer,9,0,0,1,0,0
215,19,Low,Salaried,22,1,1,0,5,0
216,61,Low,Self-employed,76,1,0,0,7,0
217,43,Low,Salaried,87,1,1,1,7,0
218,49,Medium,Farmer,12,0,1,0,5,0
219,23,Medium,Salaried,47,1,1,0,2,0
220,49,Low,Salaried,88,0,1,1,2,0
221,21,Low,Salaried,43,0,0,1,1,0
222,28,Low,Daily wage,92,1,0,0,1,0
223,34,Medium,Farmer,79,0,0,1,1,0
224,55,Low,Salaried,63,1,0,1,6,0
225,41,Low,Farmer,39,0,0,0,9,0
226,22,Low,Salaried,5,0,1,1,8,0
227,51,Medium,Self-employed,71,0,1,1,9,1
228,23,Medium,Self-employed,97,0,0,1,6,1
229,39,High,Self-employed,81,1,1,0,7,1
230,28,Low,Salaried,42,0,1,0,4,0
231,33,Low,Farmer,31,1,1,1,1,0
232,50,Low,Self-employed,48,1,1,1,7,0
233,26,Medium,Daily wage,73,1,0,0,4,0
234,23,High,Self-employed,97,1,0,1,8,1
235,33,Low,Self-employed,86,0,1,0,5,0
236,46,Low,Daily wage,18,0,1,0,6,0
237,20,Low,Self-employed,83,1,0,0,0,0
238,37,Low,Salaried,51,1,0,0,7,0
239,53,Low,Salaried,51,1,0,0,6,0
240,36,Low,Self-employed,33,0,0,0,6,0
241,43,Low,Farmer,58,0,1,0,6,0
242,20,Low,Farmer,80,1,1,0,6,0
243,36,Medium,Self-employed,4,0,1,0,0,0
244,37,Low,Daily wage,65,0,0,1,8,0
245,49,Low,Salaried,40,0,1,1,6,0
246,24,Low,Salaried,33,0,0,0,6,0
247,58,Medium,Salaried,53,1,1,1,0,0
248,50,Medium,Self-employed,19,0,1,1,5,0
249,57,Low,Salaried,53,1,0,0,9,0
250,56,Low,Self-employed,65,1,0,0,7,0
251,35,Low,Self-employed,91,0,1,0,4,0
252,57,Medium,Farmer,17,1,1,1,0,0
253,18,Medium,Daily wage,43,0,1,0,4,0
254,28,Medium,Daily wage,47,0,0,0,1,0
255,45,Low,Daily wage,34,1,0,1,1,0
256,42,High,Salaried,78,1,0,1,3,0
257,40,High,Farmer,38,0,0,1,3,0
258,48,Medium,Farmer,2,1,1,0,9,0
259,47,Low,Self-employed,18,1,0,1,6,0
260,59,Low,Farmer,86,0,1,0,8,0
261,52,Low,Self-employed,82,0,0,1,1,0
262,24,Low,Farmer,17,1,1,1,7,0
263,33,Low,Self-employed,93,1,0,1,7,0
264,43,Medium,Salaried,82,0,1,1,7,1
265,19,Medium,Farmer,4,0,0,0,8,0
266,18,High,Daily wage,54,0,1,1,8,1
267,29,Low,Self-employed,12,0,0,0,9,0
268,22,Low,Farmer,33,1,1,0,6,0
269,54,Medium,Farmer,87,0,0,0,4,0
270,49,Low,Self-employed,17,0,0,0,6,0
271,26,Low,Farmer,67,0,1,0,6,0
272,58,High,Daily wage,99,0,1,0,9,1
273,52,Medium,Self-employed,71,0,0,1,9,1
274,36,Low,Self-employed,42,0,0,0,6,0
275,33,Medium,Self-employed,64,0,0,1,7,1
276,20,Medium,Self-employed,40,1,0,1,1,0
277,37,Medium,Self-employed,37,0,0,0,3,0
278,41,Medium,Daily wage,99,0,0,1,8,1
279,50,Low,Self-employed,37,1,0,0,3,0
280,41,Medium,Daily wage,12,1,1,1,1,0
281,28,Low,Daily wage,21,1,1,0,6,0
282,25,Low,Daily wage,28,1,1,0,5,0
283,53,High,Self-employed,8,0,1,1,3,0
284,55,Low,Daily wage,90,1,0,0,7,0
285,57,Medium,Self-employed,67,1,0,0,5,0
286,37,Medium,Daily wage,16,1,0,1,7,0
287,52,High,Self-employed,36,0,0,0,3,0
288,42,Medium,Farmer,63,0,0,1,1,0
289,52,Low,Farmer,66,0,0,0,5,0
290,42,Low,Daily wage,3,1,1,1,8,0
291,46,Low,Salaried,39,0,0,0,8,0
292,35,Low,Salaried,15,0,0,1,8,0
293,63,Low,Farmer,10,0,0,0,2,0
294,35,Low,Daily wage,90,1,0,0,2,0
295,19,Medium,Daily wage,25,0,0,0,9,0
296,52,High,Daily wage,94,0,0,1,2,0
297,33,Medium,Salaried,97,1,0,0,4,0
298,58,Medium,Farmer,71,0,1,0,4,0
299,53,Low,Daily wage,64,1,1,1,4,0
300,50,Low,Farmer,1,0,1,1,7,0
301,21,Low,Farmer,90,1,1,0,9,0
302,50,Medium,Self-employed,44,0,0,1,7,0
303,31,Low,Salaried,42,1,1,0,7,0
304,38,Medium,Farmer,2,1,1,1,8,0
305,37,Low,Self-employed,33,1,0,1,9,0
306,25,Low,Salaried,79,1,1,1,5,0
307,24,Low,Daily wage,64,0,0,0,1,0
308,20,Low,Daily wage,63,1,1,0,8,0
309,34,Low,Self-employed,6,1,1,0,5,0
310,50,Medium,Daily wage,34,0,1,0,0,0
311,29,Medium,Self-employed,21,1,0,1,4,0
312,39,Low,Self-employed,47,1,0,0,6,0
313,39,Medium,Daily wage,31,1,1,0,0,0
314,63,Low,Salaried,25,0,1,0,6,0
315,47,High,Self-employed,5,0,0,1,4,0
316,55,Low,Salaried,45,0,0,1,4,0
317,55,Medium,Salaried,54,0,1,0,1,0
318,62,Low,Self-employed,74,1,1,1,3,0
319,25,Low,Salaried,94,1,1,1,8,0
320,44,Low,Self-employed,54,0,1,1,1,0
321,44,Low,Daily wage,84,1,0,1,8,0
322,51,Low,Daily wage,56,0,1,1,7,0
323,38,Low,Daily wage,85,1,0,0,3,0
324,47,High,Daily wage,62,0,0,1,1,0
325,50,Medium,Daily wage,0,0,0,1,5,0
326,45,Medium,Salaried,20,0,0,1,6,0
327,64,Medium,Salaried,19,0,0,0,1,0
328,50,High,Salaried,72,1,0,1,7,1
329,22,Low,Farmer,90,0,0,1,8,0
330,36,Low,Farmer,28,0,0,1,4,0
331,21,Medium,Self-employed,42,1,0,1,5,0
332,52,Medium,Farmer,96,0,1,0,5,0
333,34,Low,Daily wage,44,0,0,0,9,0
334,61,Low,Daily wage,64,1,1,0,1,0
335,45,Low,Daily wage,2,1,0,0,0,0
336,47,High,Self-employed,95,0,0,1,4,0
337,46,Low,Self-employed,19,1,1,0,5,0
338,63,High,Self-employed,80,0,0,0,0,0
339,23,High,Self-employed,36,0,0,0,7,0
340,52,Medium,Salaried,37,1,1,1,4,0
341,58,Low,Self-employed,73,0,1,0,4,0
342,54,Low,Self-employed,44,1,0,1,7,0
343,41,Low,Farmer,92,1,0,1,7,0
344,46,Low,Salaried,41,1,1,1,8,0
345,63,Medium,Daily wage,45,0,0,0,3,0
346,48,Low,Farmer,59,0,0,0,2,0
347,52,Low,Self-employed,95,1,0,0,9,0
348,50,Low,Daily wage,12,1,1,0,1,0
349,38,High,Daily wage,30,1,0,1,0,0
350,49,Low,Daily wage,67,1,1,0,9,0
351,40,High,Farmer,61,0,0,0,4,0
352,50,Low,Salaried,48,0,0,0,5,0
353,20,Low,Salaried,17,1,0,1,7,0
354,35,Low,Daily wage,74,0,1,1,5,0
355,42,Low,Self-employed,52,1,1,1,1,0
356,59,Medium,Salaried,17,1,1,1,7,0
357,48,Low,Salaried,50,0,0,0,4,0
358,20,Low,Self-employed,40,1,0,1,2,0
359,57,Medium,Farmer,96,1,1,1,5,0
360,63,Medium,Farmer,66,0,1,0,5,0
361,41,Medium,Self-employed,64,1,1,0,2,0
362,49,Low,Farmer,82,1,0,0,6,0
363,64,Low,Daily wage,5,0,0,1,6,0
364,39,High,Salaried,73,0,1,1,6,1
365,40,Medium,Farmer,36,0,0,0,7,0
366,19,High,Daily wage,11,0,0,1,6,0
367,44,Low,Daily wage,80,0,1,0,3,0
368,59,Medium,Daily wage,90,1,0,0,4,0
369,19,Medium,Daily wage,1,1,1,1,3,0
370,43,Low,Daily wage,52,0,1,0,1,0
371,34,Medium,Self-employed,24,0,1,0,6,0
372,57,Medium,Salaried,27,0,1,1,2,0
373,50,Low,Salaried,44,0,1,1,0,0
374,26,Low,Self-employed,36,0,0,1,0,0
375,60,Medium,Self-employed,16,1,1,1,8,0
376,56,Low,Daily wage,68,0,1,0,2,0
377,46,Low,Farmer,55,0,0,1,6,0
378,59,Low,Salaried,57,1,0,1,8,0
379,43,Low,Farmer,82,0,1,0,6,0
380,52,High,Salaried,3,1,1,0,7,0
381,42,Low,Daily wage,54,0,1,0,5,0
382,41,Low,Farmer,48,1,1,0,2,0
383,30,High,Salaried,37,0,0,1,0,0
384,24,Low,Salaried,44,0,1,1,9,0
385,53,Low,Daily wage,29,1,1,1,7,0
386,62,Medium,Farmer,95,1,1,0,5,0
387,37,Low,Daily wage,36,0,1,0,1,0
388,18,Low,Farmer,55,1,0,0,9,0
389,25,Medium,Farmer,26,0,0,0,7,0
390,63,Medium,Salaried,31,1,1,0,3,0
391,33,Medium,Self-employed,10,1,1,1,9,0
392,31,High,Farmer,57,0,1,1,8,1
393,29,Medium,Farmer,76,0,0,0,8,1
394,40,Medium,Daily wage,34,1,1,0,8,0
395,32,Medium,Farmer,16,0,0,1,3,0
396,45,Low,Farmer,29,1,0,1,5,0
397,51,Low,Farmer,17,0,1,1,3,0
398,19,Medium,Farmer,29,0,0,0,9,0
399,49,Low,Farmer,89,1,0,0,9,0
400,40,Low,Self-employed,15,0,1,0,4,0
401,39,Low,Salaried,74,1,1,1,6,0
402,42,Low,Farmer,53,1,0,1,6,0
403,39,Low,Daily wage,3,0,0,1,9,0
404,39,Medium,Daily wage,14,0,0,0,5,0
405,59,High,Farmer,75,1,1,1,9,1
406,23,Medium,Farmer,26,1,0,0,3,0
407,32,Medium,Farmer,3,1,1,0,4,0
408,60,Low,Self-employed,34,1,0,0,4,0
409,54,Low,Salaried,84,1,1,0,8,0
410,50,Low,Daily wage,62,0,0,1,5,0
411,25,Medium,Self-employed,99,1,0,0,3,0
412,61,Low,Self-employed,65,1,1,1,5,0
413,61,Low,Farmer,38,1,1,0,6,0
414,22,Medium,Salaried,27,1,0,1,6,0
415,56,Low,Farmer,33,1,0,1,9,0
416,21,High,Daily wage,32,1,0,0,2,0
417,23,Medium,Salaried,49,1,0,0,5,0
418,62,Low,Farmer,59,1,1,0,6,0
419,49,Low,Daily wage,71,1,0,1,0,0
420,47,Medium,Self-employed,71,1,1,1,3,0
421,64,Low,Daily wage,41,0,1,0,6,0
422,52,Low,Daily wage,85,0,1,0,9,0
423,57,Low,Daily wage,90,0,1,1,0,0
424,33,High,Salaried,27,1,1,0,7,0
425,30,Low,Self-employed,74,1,1,0,5,0
426,59,High,Salaried,26,1,0,0,5,0
427,47,Medium,Self-employed,0,1,0,0,2,0
428,36,Low,Farmer,91,1,1,1,5,0
429,34,Medium,Farmer,90,0,0,1,3,0
430,36,Low,Daily wage,7,1,1,0,8,0
431,45,Low,Daily wage,45,1,1,0,3,0
432,43,Medium,Salaried,23,1,1,1,5,0
433,54,Medium,Self-employed,39,1,0,0,5,0
434,43,Low,Self-employed,50,1,0,0,0,0
435,40,High,Self-employed,99,1,0,1,3,0
436,26,Medium,Daily wage,23,0,1,1,8,0
437,29,High,Daily wage,21,1,0,1,9,0
438,18,Low,Self-employed,73,0,1,1,5,0
439,18,High,Daily wage,67,1,1,1,3,0
440,64,Low,Self-employed,7,1,0,1,6,0
441,51,Low,Salaried,57,1,1,1,9,0
442,49,Medium,Farmer,14,0,1,0,6,0
443,42,Medium,Self-employed,7,1,1,0,4,0
444,57,Low,Daily wage,92,0,1,1,3,0
445,62,Low,Salaried,41,1,1,0,3,0
446,18,Low,Daily wage,38,1,0,1,6,0
447,33,Medium,Daily wage,34,1,1,1,5,0
448,56,Low,Daily wage,40,1,1,1,3,0
449,22,Low,Self-employed,47,0,0,0,2,0
450,39,Low,Salaried,77,1,0,1,1,0
451,46,High,Self-employed,95,0,1,1,3,0
452,20,Medium,Farmer,70,0,0,0,6,1
453,29,Medium,Self-employed,43,1,1,1,1,0
454,43,High,Farmer,96,0,0,0,8,1
455,33,Low,Salaried,34,0,0,0,8,0
456,54,Low,Salaried,26,1,0,1,5,0
457,39,Low,Self-employed,64,0,1,1,8,0
458,46,Medium,Self-employed,69,0,0,0,0,0
459,31,Low,Daily wage,65,1,0,1,5,0
460,45,Low,Farmer,70,1,0,1,2,0
461,22,Low,Daily wage,71,0,1,1,5,0
462,64,Low,Daily wage,62,0,0,0,4,0
463,47,Low,Salaried,92,0,0,1,4,0
464,63,High,Self-employed,79,0,0,1,0,0
465,22,Medium,Salaried,28,0,0,1,4,0
466,29,High,Self-employed,30,1,0,0,5,0
467,33,High,Salaried,63,0,0,1,0,0
468,43,Low,Salaried,85,0,0,0,9,0
469,43,Low,Salaried,52,1,1,0,6,0
470,38,Medium,Farmer,73,1,1,0,0,0
471,56,Medium,Salaried,67,0,0,0,6,1
472,53,Low,Farmer,24,1,1,0,8,0
473,50,High,Salaried,12,0,0,0,6,0
474,47,Low,Self-employed,80,1,0,0,9,0
475,54,Low,Farmer,39,1,0,0,4,0
476,40,Medium,Self-employed,71,1,1,0,2,0
477,27,Low,Self-employed,86,1,1,1,6,0
478,22,Low,Self-employed,6,1,1,0,5,0
479,53,Low,Farmer,31,0,0,0,7,0
480,51,Low,Daily wage,23,0,1,1,7,0
481,48,Medium,Farmer,0,1,1,1,9,0
482,27,Medium,Daily wage,46,1,0,0,5,0
483,36,Medium,Farmer,50,1,0,1,6,0
484,49,Medium,Salaried,35,1,0,1,2,0
485,18,Low,Daily wage,26,0,0,0,3,0
486,22,Low,Salaried,69,1,0,0,6,0
487,62,Low,Daily wage,41,1,0,0,5,0
488,21,Low,Farmer,94,0,0,0,2,0
489,33,Low,Farmer,75,1,0,0,9,0
490,41,Medium,Daily wage,89,0,1,0,6,1
491,33,High,Salaried,88,1,1,0,2,0
492,19,Low,Self-employed,67,1,0,0,9,0
493,45,Medium,Daily wage,69,0,1,0,7,1
494,49,Low,Daily wage,12,1,0,1,6,0
495,44,Medium,Salaried,24,0,1,1,3,0
496,37,Medium,Self-employed,94,0,1,1,0,0
497,41,Low,Daily wage,21,0,1,1,5,0
498,29,Low,Self-employed,98,0,0,1,4,0
499,52,Medium,Self-employed,20,1,0,0,8,0
500,50,Medium,Farmer,14,1,0,0,9,0
501,50,Medium,Salaried,66,0,0,0,5,0
502,60,Medium,Daily wage,36,0,0,0,0,0
503,54,High,Daily wage,44,0,0,1,2,0
504,29,Low,Self-employed,25,0,1,0,1,0
505,20,Low,Daily wage,80,0,1,0,2,0
506,18,Low,Self-employed,54,1,0,1,0,0
507,50,Low,Daily wage,49,1,0,0,1,0
508,57,Low,Salaried,34,0,1,1,7,0
509,27,Medium,Daily wage,40,1,1,0,2,0
510,60,Low,Self-employed,71,1,1,1,8,0
511,61,Low,Self-employed,10,0,0,1,3,0
512,46,High,Daily wage,87,1,0,0,1,0
513,30,Low,Daily wage,7,0,1,0,6,0
514,29,Low,Self-employed,53,0,1,0,8,0
515,48,Medium,Farmer,93,1,1,0,4,0
516,63,Medium,Farmer,0,1,1,0,0,0
517,19,Low,Daily wage,97,0,1,1,8,0
518,52,Low,Salaried,19,1,1,1,8,0
519,40,Medium,Daily wage,99,0,1,1,6,1
520,34,Low,Salaried,33,0,0,1,0,0
521,43,Low,Daily wage,56,0,0,0,3,0
522,25,Medium,Self-employed,97,0,1,1,0,0
523,46,Low,Daily wage,12,0,1,0,2,0
524,43,Low,Salaried,53,0,1,1,6,0
525,27,Low,Salaried,52,0,1,0,0,0
526,43,High,Daily wage,51,1,1,0,7,1
527,51,High,Daily wage,5,1,0,0,9,0
528,58,Low,Farmer,35,0,1,0,3,0
529,24,Low,Daily wage,24,1,1,1,3,0
530,21,Low,Daily wage,90,1,1,1,0,0
531,62,Low,Self-employed,57,0,1,1,4,0
532,28,Low,Salaried,54,0,0,1,7,0
533,46,Medium,Farmer,94,1,0,1,7,1
534,53,Low,Self-employed,2,0,0,1,6,0
535,42,Low,Daily wage,27,1,0,0,6,0
536,38,Low,Salaried,67,0,0,1,7,0
537,53,Low,Daily wage,80,0,0,0,7,0
538,27,Low,Daily wage,37,0,0,0,0,0
539,54,Low,Daily wage,33,0,1,0,1,0
540,26,Medium,Daily wage,83,1,0,1,9,1
541,41,Medium,Salaried,12,0,0,0,7,0
542,52,Low,Self-employed,4,0,0,1,0,0
543,52,Low,Daily wage,59,0,0,1,8,0
544,53,Low,Daily wage,87,1,0,1,8,0
545,35,Low,Farmer,16,1,0,0,9,0
546,56,Medium,Farmer,56,0,1,0,1,0
547,49,Low,Salaried,30,0,1,1,5,0
548,41,Medium,Daily wage,91,0,1,1,3,0
549,40,Medium,Daily wage,64,0,1,0,9,1
550,49,High,Daily wage,65,1,1,1,6,1
551,54,High,Salaried,32,1,0,1,1,0
552,29,Low,Salaried,92,0,1,0,9,0
553,30,High,Daily wage,3,0,0,1,0,0
554,40,Medium,Daily wage,81,1,1,1,8,1
555,42,Medium,Salaried,54,0,1,1,8,1
556,52,Low,Daily wage,23,0,1,1,8,0
557,58,Medium,Self-employed,31,1,1,1,4,0
558,47,Low,Self-employed,72,0,1,1,2,0
559,34,Medium,Salaried,46,1,1,1,5,0
560,37,Low,Self-employed,15,0,0,0,9,0
